lat,lon,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6
-8.069304,-34.889534,-73.49,-73.9233333333,-75.89,-55.8233333333,-43.7233333333,-74.99
-8.075497,-34.893036,-57.6233333333,-67.99,-72.9233333333,-55.19,-69.4566666667,-77.79
-8.065523,-34.889511,-81.265,-70.415,-76.865,-66.54,-57.69,-77.215
-8.068884,-34.89119,-68.09,-77.39,-79.4566666667,-68.49,-23.39,-78.5233333333
-8.067132,-34.894196,-67.19,-69.0566666667,-68.09,-71.1233333333,-67.4566666667,-38.3566666667
-8.065806,-34.890656,-80.99,-80.4233333333,-79.7233333333,-76.1233333333,-69.6233333333,-63.0566666667
-8.066258,-34.895966,-60.4233333333,-62.9566666667,-70.5566666667,-64.6566666667,-71.3566666667,-44.99
-8.06021,-34.905781,-76.9566666667,-68.39,-79.5233333333,-75.6233333333,-79.5566666667,-76.4566666667
-8.075289,-34.892365,-57.9566666667,-69.69,-70.49,-44.6233333333,-68.8566666667,-85.0233333333
-8.073171,-34.896355,-43.59,-61.89,-44.59,-54.09,-63.44,-70.94
-8.063682,-34.89682,-74.3566666667,-51.2233333333,-67.79,-63.1566666667,-67.99,-62.19
-8.065372,-34.889526,-82.3566666667,-72.49,-81.4566666667,-74.9566666667,-51.7566666667,-73.9233333333
-8.06931,-34.899082,-47.29,-57.9566666667,-63.5566666667,-56.1233333333,-57.0566666667,-48.09
-8.0744,-34.900311,-53.74,-48.84,-57.59,-67.69,-86.44,-75.49
-8.068528,-34.889545,-63.7566666667,-80.0233333333,-78.7566666667,-58.9233333333,-53.59,-76.0566666667
-8.072565,-34.896191,-50.5233333333,-49.09,-59.6233333333,-42.7233333333,-63.49,-72.19
-8.072929,-34.896629,-42.49,-44.765,-66.99,-40.39,-61.39,-67.715
-8.068976,-34.900459,-63.54,-61.24,-69.14,-65.24,-75.14,-54.24
-8.073035,-34.900612,-63.1566666667,-65.09,-68.29,-71.8566666667,-85.2233333333,-75.0566666667
-8.06484,-34.893227,-76.3566666667,-68.8566666667,-72.39,-63.59,-74.4566666667,-58.49
-8.074656,-34.900253,-62.09,-61.29,-45.6566666667,-71.7233333333,-82.4233333333,-83.89
-8.07753,-34.899109,-66.915,-27.065,-59.44,-71.965,-78.79,-80.94
-8.074915,-34.893559,-52.59,-61.69,-71.04,-40.19,-66.04,-72.59
-8.066847,-34.894707,-73.8233333333,-68.59,-71.7233333333,-73.5233333333,-69.9566666667,-39.2566666667
-8.062396,-34.887768,-80.19,-76.7233333333,-86.5566666667,-85.8566666667,-87.8233333333,-89.9566666667
-8.075445,-34.896282,-58.3233333333,-63.9233333333,-76.3233333333,-60.49,-76.19,-78.49
-8.075313,-34.89246,-57.99,-72.19,-71.5233333333,-47.9566666667,-62.6566666667,-79.4233333333
-8.059994,-34.906029,-81.64,-78.29,-77.49,-74.34,-82.74,-74.49
-8.071959,-34.897236,-59.69,-53.39,-62.39,-49.34,-71.74,-70.69
-8.069649,-34.889477,-68.44,-76.09,-80.64,-56.49,-47.565,-79.365
-8.07033,-34.893559,-47.9233333333,-63.7233333333,-63.6566666667,-55.3566666667,-54.2566666667,-42.0233333333
-8.063195,-34.886772,-70.5233333333,-77.4566666667,-86.5566666667,-88.29,-86.5566666667,-88.6566666667
-8.076372,-34.895603,-68.7233333333,-47.0233333333,-75.4566666667,-59.5566666667,-70.9233333333,-82.8566666667
-8.071929,-34.892223,-57.89,-69.49,-69.99,-48.1233333333,-35.7233333333,-77.39
-8.073239,-34.896477,-39.29,-55.4566666667,-50.3566666667,-54.49,-60.8566666667,-73.39
-8.063667,-34.894779,-77.6566666667,-46.0566666667,-70.79,-80.0566666667,-67.29,-61.3233333333
-8.062376,-34.887779,-77.9566666667,-74.4066666667,-88.89,-86.7566666667,-89.1233333333,-93.8566666667
-8.070716,-34.892654,-42.44,-73.99,-65.29,-50.99,-52.49,-55.49
-8.074194,-34.900085,-64.14,-48.94,-32.84,-61.19,-80.59,-76.59
-8.069219,-34.900562,-74.09,-72.59,-63.04,-68.44,-76.14,-63.79
-8.070448,-34.896748,-53.4566666667,-50.9233333333,-63.5233333333,-41.0566666667,-70.39,-65.1233333333
-8.062026,-34.901897,-72.7566666667,-59.2233333333,-77.3233333333,-70.3233333333,-73.1566666667,-72.3233333333
-8.069266,-34.888081,-71.29,-72.3566666667,-75.6566666667,-71.6233333333,-56.3566666667,-76.39
-8.067835,-34.892307,-74.79,-69.2233333333,-71.0566666667,-60.7566666667,-62.99,-57.8233333333
